,popYr,year,pop,dataset,ct_other,ct_bumble_lg_bee,ct_butterfly_all,ct_hawkmoth,ct_small_med_bee,ct_hummingbird,pr_other,pr_bumble_lg_bee,pr_butterfly_all,pr_hawkmoth,pr_small_med_bee,pr_hummingbird,rt_other,rt_bumble_lg_bee,rt_butterfly_all,rt_hawkmoth,rt_small_med_bee,rt_hummingbird,taxa,sp,reg1,reg2,corL,corW,stigma,lipL,brLbW,red,green,blue,latN,lonW,visTotal,avgNMDS1,avgNMDS2,hex,pch_ind,nmds1,nmds2
25,SDCR-2017,2017,SDCR,focal_narrow,0,0,0,106,78,0,0,0,0,0.576086957,0.423913043,0,0,0,0,1.766666667,1.3,0,S,S,sS,wS,46.19153571,3.049642857,1.246196429,5.869142857,1.443553571,232.9285714,140.7857143,129.3571429,37.75643,-103.59391,184,NA,NA,#e98d81,21,0.429052747,0.136826581
26,SFP-2018,2018,SFP,focal_narrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,nS,nS,41.25715,2.839633333,1.521466667,5.382016667,2.598333333,141.9,162.4666667,62.36666667,47.05173,-96.427291,0,-0.117471738,-0.270508552,#8ea23e,21,0.373448988,-0.229408068
27,SFP-2019,2019,SFP,focal_narrow,3,16,0,0,35,0,0.055555556,0.296296296,0,0,0.648148148,0,0.039473684,0.210526316,0,0,0.460526316,0,S,S,nS,nS,41.25715,2.839633333,1.521466667,5.382016667,2.598333333,141.9,162.4666667,62.36666667,47.05173,-96.427291,54,-0.117471738,-0.270508552,#8ea23e,21,0.373449138,-0.229408513
28,SIC-2017,2017,SIC,focal_narrow,54,0,100,53,85,0,0.184931507,0,0.342465753,0.181506849,0.29109589,0,0.710526316,0,1.315789474,0.697368421,1.118421053,0,S,S,sS,sS,29.92193333,2.516483333,1.547466667,4.56895,2.4925,225.1333333,105.3,153.7,30.486035,-101.7882521,292,0.288949034,0.022388958,#e1699a,21,0.046910611,0.130361025
29,SIC-2018,2018,SIC,focal_narrow,1,0,0,0,12,0,0.076923077,0,0,0,0.923076923,0,0.047619048,0,0,0,0.571428571,0,S,S,sS,sS,29.92193333,2.516483333,1.547466667,4.56895,2.4925,225.1333333,105.3,153.7,30.486035,-101.7882521,13,0.288949034,0.022388958,#e1699a,21,0.046910611,0.130361025
30,SIC-2019,2019,SIC,focal_narrow,6,0,2,53,20,0,0.074074074,0,0.024691358,0.654320988,0.24691358,0,0.063157895,0,0.021052632,0.557894737,0.210526316,0,S,S,sS,sS,29.92193333,2.516483333,1.547466667,4.56895,2.4925,225.1333333,105.3,153.7,30.486035,-101.7882521,81,0.288949034,0.022388958,#e1699a,21,0.046910611,0.130361025
31,SILB-2017,2017,SILB,focal_narrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,S,nS,nS,51.9256,3.008166667,1.803966667,6.935766667,1.340633333,188.6,199.0333333,107.8,42.44124,-87.80295,0,0.003102196,-0.262798793,#bdc76c,21,0.553183706,-0.084407107
32,SILB-2018,2018,SILB,focal_narrow,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0.057471264,0,S,S,nS,nS,51.9256,3.008166667,1.803966667,6.935766667,1.340633333,188.6,199.0333333,107.8,42.44124,-87.80295,10,0.003102196,-0.262798793,#bdc76c,21,0.553184006,-0.084407189
33,SMP-2017,2017,SMP,focal_narrow,0,5,0,70,32,0,0,0.046728972,0,0.654205607,0.299065421,0,0,0.047619048,0,0.666666667,0.304761905,0,S,S,sS,sS,30.81805,2.54545,1.86145,4.901066667,2.604,234.7,215.4333333,57.33333333,32.2852116,-100.7884505,107,-0.283041378,-0.11393331,#ebd739,21,0.064111804,-0.236224549
34,SMP-2018,2018,SMP,focal_narrow,0,17,0,6,10,0,0,0.515151515,0,0.181818182,0.303030303,0,0,0.153153153,0,0.054054054,0.09009009,0,S,S,sS,sS,30.81805,2.54545,1.86145,4.901066667,2.604,234.7,215.4333333,57.33333333,32.2852116,-100.7884505,33,-0.283041378,-0.11393331,#ebd739,21,0.064111804,-0.236224549
