plantID,pop,year,popYear,taxa,sp,reg,nFlrs,nFrts,latN,lonW
LRR14,LRR,2019,LRR-2019,PC,L,L,18,12,30.61922,-98.07169
LRR15,LRR,2019,LRR-2019,PC,L,L,18,16,30.61922,-98.07169
LRR16,LRR,2019,LRR-2019,PC,L,L,17,16,30.61922,-98.07169
LRR17,LRR,2019,LRR-2019,PC,L,L,21,14,30.61922,-98.07169
LRR18,LRR,2019,LRR-2019,PC,L,L,17,14,30.61922,-98.07169
LRR19,LRR,2019,LRR-2019,PC,L,L,25,18,30.61922,-98.07169
LRR20,LRR,2019,LRR-2019,PC,L,L,12,9,30.61922,-98.07169
LRR21,LRR,2019,LRR-2019,PC,L,L,15,15,30.61922,-98.07169
LRR22,LRR,2019,LRR-2019,PC,L,L,13,13,30.61922,-98.07169
LRR23,LRR,2019,LRR-2019,PC,L,L,14,12,30.61922,-98.07169
LRR24,LRR,2019,LRR-2019,PC,L,L,34,17,30.61922,-98.07169
LRR25,LRR,2019,LRR-2019,PC,L,L,26,20,30.61922,-98.07169
LRR26,LRR,2019,LRR-2019,PC,L,L,32,20,30.61922,-98.07169
LRR27,LRR,2019,LRR-2019,PC,L,L,12,12,30.61922,-98.07169
LRR28,LRR,2019,LRR-2019,PC,L,L,20,19,30.61922,-98.07169
LRR29,LRR,2019,LRR-2019,PC,L,L,27,10,30.61922,-98.07169
LRR30,LRR,2019,LRR-2019,PC,L,L,12,10,30.61922,-98.07169
LVH01,LVH,2019,LVH-2019,PC,L,L,19,8,30.2759,-97.8971
LVH02,LVH,2019,LVH-2019,PC,L,L,14,12,30.2759,-97.8971
LVH03,LVH,2019,LVH-2019,PC,L,L,19,14,30.2759,-97.8971
LVH04,LVH,2019,LVH-2019,PC,L,L,17,16,30.2759,-97.8971
LVH05,LVH,2019,LVH-2019,PC,L,L,22,21,30.2759,-97.8971
LVH06,LVH,2019,LVH-2019,PC,L,L,13,12,30.2759,-97.8971
LVH07,LVH,2019,LVH-2019,PC,L,L,35,20,30.2759,-97.8971
