"","popYr","year","pop","dataset","ct_other","ct_bumble_lg_bee","ct_butterfly_all","ct_hawkmoth","ct_small_med_bee","ct_hummingbird","pr_other","pr_bumble_lg_bee","pr_butterfly_all","pr_hawkmoth","pr_small_med_bee","pr_hummingbird","rt_other","rt_bumble_lg_bee","rt_butterfly_all","rt_hawkmoth","rt_small_med_bee","rt_hummingbird","taxa","sp","reg1","reg2","corL","corW","stigma","lipL","brLbW","red","green","blue","latN","lonW","visTotal","avgFlrs","avgFrts","avgFrtSet","ct_ShDiv","ct_InvSimpD","colCat","nectarVol","nectarSucPerc","nectarN","logInvSimpD","hex","nmds1","nmds2","pch_ind"
"11","LVH-2018","""2018""","LVH","focal_narrow",0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0.180851064,0,0,"PC","L","L","L",33.73236667,2.806983333,2.569183333,4.422033333,5.33735,239.2666667,60.3,28.6,30.2759,-97.8971,17,NA,NA,NA,0,1,"red",NA,NA,NA,0,"#ef3c1d",-0.525078535693328,3.74737443652387e-05,24
"12","LVH-2019","""2019""","LVH","focal_narrow",0,0,0,0,1,3,0,0,0,0,0.25,0.75,0,0,0,0,0.014285714,0.042857143,"PC","L","L","L",33.73236667,2.806983333,2.569183333,4.422033333,5.33735,239.2666667,60.3,28.6,30.2759,-97.8971,4,19.83333333,16.23333333,0.830771502,0.562335145,1.6,"red",4.799608771,32.56818182,22,0.470003629245736,"#ef3c1d",-0.525078535689648,3.7473579965745e-05,24
"13","PCM-2018","""2018""","PCM","focal_narrow",0,0,4,88,8,0,0,0,0.04,0.88,0.08,0,0,0,0.031496063,0.692913386,0.062992126,0,"PC","P","P","P",30.58203333,3.837766667,2.739916667,5.046566667,4.535666667,193.9,48.3,118.6666667,33.31087,-96.24411,100,NA,NA,NA,0.443306691,1.278118609,"purple",NA,NA,NA,0.24538915994313,"#c23077",-0.363932799484322,0.430219488743933,22
"14","PCM-2019","""2019""","PCM","focal_narrow",0,0,3,12,6,0,0,0,0.142857143,0.571428571,0.285714286,0,0,0,0.03125,0.125,0.0625,0,"PC","P","P","P",30.58203333,3.837766667,2.739916667,5.046566667,4.535666667,193.9,48.3,118.6666667,33.31087,-96.24411,21,17.87096774,9.64516129,0.523397854,0.955699891,2.333333333,"purple",3.706744019,26.216,25,0.847297860244347,"#c23077",-0.363932799484323,0.430219488743933,22
"15","PMT-2018","""2018""","PMT","focal_narrow",0,21,2,19,23,3,0,0.308823529,0.029411765,0.279411765,0.338235294,0.044117647,0,0.111702128,0.010638298,0.10106383,0.122340426,0.015957447,"PC","P","P","P",31.4571,3.137933333,2.145416667,3.989316667,5.301283333,209.0333333,63.2,99.7,31.88892,-97.69912,68,NA,NA,NA,1.32718697,3.44047619,"purple",NA,NA,NA,1.23560988913071,"#d13f64",-0.318360950852125,0.11325931421345,22
"16","PMT-2019","""2019""","PMT","focal_narrow",4,0,0,0,3,0,0.571428571,0,0,0,0.428571429,0,0.014285714,0,0,0,0.010714286,0,"PC","P","P","P",31.4571,3.137933333,2.145416667,3.989316667,5.301283333,209.0333333,63.2,99.7,31.88892,-97.69912,7,32.66666667,22.3,0.67320652,0.682908105,1.96,"purple",NA,NA,NA,0.672944473242426,"#d13f64",-0.318361014129806,0.113259325682859,22
"17","PTH-2018","""2018""","PTH","focal_narrow",6,1,0,176,101,0,0.021126761,0.003521127,0,0.61971831,0.355633803,0,0.008862629,0.001477105,0,0.259970458,0.149187592,0,"PC","P","P","P",32.32156667,3.47815,2.332433333,4.682616667,5.608483333,188.4,52.66666667,134.2,32.74596,-97.27286,284,NA,NA,NA,0.765583702,1.957004901,"purple",NA,NA,NA,0.671415192754186,"#bc3586",-0.341998261579231,0.280872888578106,22
"18","PTH-2019","""2019""","PTH","focal_narrow",9,0,1,43,29,0,0.109756098,0,0.012195122,0.524390244,0.353658537,0,0.020361991,0,0.002262443,0.097285068,0.06561086,0,"PC","P","P","P",32.32156667,3.47815,2.332433333,4.682616667,5.608483333,188.4,52.66666667,134.2,32.74596,-97.27286,82,33.58064516,18.5483871,0.550197256,1.002350891,2.425685426,"purple",6.332495879,27.47368421,19,0.886114134348397,"#bc3586",-0.34199795686582,0.280872620288696,22
"19","PTMS-2019","""2019""","PTMS","focal_narrow",3,0,0,2,67,0,0.041666667,0,0,0.027777778,0.930555556,0,0.007537688,0,0,0.005025126,0.168341709,0,"PC","P","P","P",32.20373333,3.51825,1.769816667,4.493983333,4.664233333,177,44.76666667,115,36.1815,-95.8168383,72,NA,NA,NA,0.298936442,1.151488227,"purple",NA,NA,NA,0.141055216170757,"#b12d73",-0.266594740220506,0.402340429284134,22
"20","SBL-2017","""2017""","SBL","focal_narrow",0,0,0,106,5,0,0,0,0,0.954954955,0.045045045,0,0,0,0,3.117647059,0.147058824,0,"S","S","sS","wS",46.19375,3.112785714,1.530517857,5.565446429,1.681267857,203.1428571,148.3928571,107.6785714,33.34243,-104.333,111,NA,NA,NA,0.183658728,1.094130184,"peach",NA,NA,NA,0.0899596950919151,"#cb946c",0.349295870332999,0.0723481939655628,21
