"","popYr","year","pop","dataset","ct_other","ct_bumble_lg_bee","ct_butterfly_all","ct_hawkmoth","ct_small_med_bee","ct_hummingbird","pr_other","pr_bumble_lg_bee","pr_butterfly_all","pr_hawkmoth","pr_small_med_bee","pr_hummingbird","rt_other","rt_bumble_lg_bee","rt_butterfly_all","rt_hawkmoth","rt_small_med_bee","rt_hummingbird","taxa","sp","reg1","reg2","corL","corW","stigma","lipL","brLbW","red","green","blue","latN","lonW","visTotal"
"13","PCM-2018","2018","PCM","focal_narrow",0,0,4,88,8,0,0,0,0.04,0.88,0.08,0,0,0,0.031496062992126,0.692913385826772,0.062992125984252,0,"PC","P","P","P",30.5820333333333,3.83776666666667,2.73991666666667,5.04656666666667,4.53566666666667,193.9,48.3,118.666666666667,33.31087,-96.24411,100
"14","PCM-2019","2019","PCM","focal_narrow",0,0,3,12,6,0,0,0,0.142857142857143,0.571428571428571,0.285714285714286,0,0,0,0.03125,0.125,0.0625,0,"PC","P","P","P",30.5820333333333,3.83776666666667,2.73991666666667,5.04656666666667,4.53566666666667,193.9,48.3,118.666666666667,33.31087,-96.24411,21
"15","PMT-2018","2018","PMT","focal_narrow",0,21,2,19,23,3,0,0.308823529411765,0.0294117647058824,0.279411764705882,0.338235294117647,0.0441176470588235,0,0.111702127659574,0.0106382978723404,0.101063829787234,0.122340425531915,0.0159574468085106,"PC","P","P","P",31.4571,3.13793333333333,2.14541666666667,3.98931666666667,5.30128333333333,209.033333333333,63.2,99.7,31.88892,-97.69912,68
"16","PMT-2019","2019","PMT","focal_narrow",4,0,0,0,3,0,0.571428571428571,0,0,0,0.428571428571429,0,0.0142857142857143,0,0,0,0.0107142857142857,0,"PC","P","P","P",31.4571,3.13793333333333,2.14541666666667,3.98931666666667,5.30128333333333,209.033333333333,63.2,99.7,31.88892,-97.69912,7
"17","PTH-2018","2018","PTH","focal_narrow",6,1,0,176,101,0,0.0211267605633803,0.00352112676056338,0,0.619718309859155,0.355633802816901,0,0.00886262924667651,0.00147710487444609,0,0.259970457902511,0.149187592319055,0,"PC","P","P","P",32.3215666666667,3.47815,2.33243333333333,4.68261666666667,5.60848333333333,188.4,52.6666666666667,134.2,32.74596,-97.27286,284
"18","PTH-2019","2019","PTH","focal_narrow",9,0,1,43,29,0,0.109756097560976,0,0.0121951219512195,0.524390243902439,0.353658536585366,0,0.0203619909502262,0,0.00226244343891403,0.0972850678733032,0.0656108597285068,0,"PC","P","P","P",32.3215666666667,3.47815,2.33243333333333,4.68261666666667,5.60848333333333,188.4,52.6666666666667,134.2,32.74596,-97.27286,82
"19","PTMS-2019","2019","PTMS","focal_narrow",3,0,0,2,67,0,0.0416666666666667,0,0,0.0277777777777778,0.930555555555556,0,0.00753768844221105,0,0,0.0050251256281407,0.168341708542714,0,"PC","P","P","P",32.2037333333333,3.51825,1.76981666666667,4.49398333333333,4.66423333333333,177,44.7666666666667,115,36.1815,-95.8168383,72
"20","SBL-2017","2017","SBL","focal_narrow",0,0,0,106,5,0,0,0,0,0.954954954954955,0.045045045045045,0,0,0,0,3.11764705882353,0.147058823529412,0,"S","S","sS","wS",46.19375,3.11278571428571,1.53051785714286,5.56544642857143,1.68126785714286,203.142857142857,148.392857142857,107.678571428571,33.34243,-104.333,111
"21","SBL-2018","2018","SBL","focal_narrow",0,0,0,69,0,0,0,0,0,1,0,0,0,0,0,1.5,0,0,"S","S","sS","wS",46.19375,3.11278571428571,1.53051785714286,5.56544642857143,1.68126785714286,203.142857142857,148.392857142857,107.678571428571,33.34243,-104.333,69
"22","SBL-2019","2019","SBL","focal_narrow",0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0.051948051948052,0,0,"S","S","sS","wS",46.19375,3.11278571428571,1.53051785714286,5.56544642857143,1.68126785714286,203.142857142857,148.392857142857,107.678571428571,33.34243,-104.333,4
